,HS DE Kitchen-Emergency (kW),HS DG Gym (kW),HS Plugload DBH (kW),HS DL Lighting (kW),HS MSWB (kW),HS PBA AHU1-4 (kW),HS M1 Chillers (kW)
2017-12-30 23:00:00,65.5555,25.02575,9.363258,34.53911,156.9107,3.613786,0.0
2017-12-30 23:10:00,,,,,,,
2017-12-30 23:15:00,46.88932,39.5522,9.414273,34.23624,165.5477,3.611846,0.0
2017-12-30 23:20:00,,,,,,,
2017-12-30 23:30:00,59.35717,46.62082,9.407267,32.45897,178.7406,3.627885,0.0
2017-12-30 23:40:00,,,,,,,
2017-12-30 23:45:00,48.35675,45.06659,9.803826,30.90758,159.2559,3.591861,0.0
2017-12-30 23:50:00,,,,,,,
2017-12-31 00:00:00,63.19646,46.14839,9.929636,31.70912,186.8587,3.562686,0.0
2017-12-31 00:10:00,,,,,,,
2017-12-31 00:15:00,47.19497,36.99871,10.51828,32.38508,161.2523,3.631105,0.0
2017-12-31 00:20:00,,,,,,,
2017-12-31 00:30:00,47.88214,37.68633,9.615206,32.19813,154.7168,3.575318,0.0
2017-12-31 00:40:00,,,,,,,
2017-12-31 00:45:00,49.98666,23.74405,9.649972,33.09983,157.7607,3.616931,0.0
2017-12-31 00:50:00,,,,,,,
2017-12-31 01:00:00,47.32584,32.33781,10.33399,30.80045,150.9932,3.615084,0.0
2017-12-31 01:10:00,,,,,,,
2017-12-31 01:15:00,47.42348,32.89234,9.555531,31.79082,153.4274,3.6022,0.0
2017-12-31 01:20:00,,,,,,,
2017-12-31 01:30:00,53.80276,24.77575,10.33753,31.87254,173.6478,3.624217,0.0
2017-12-31 01:40:00,,,,,,,
2017-12-31 01:45:00,54.99175,24.84448,10.03334,30.9795,170.2615,3.676497,0.0
2017-12-31 01:50:00,,,,,,,
2017-12-31 02:00:00,47.2809,25.91137,9.864606,30.45296,152.3786,3.618255,0.0
2017-12-31 02:10:00,,,,,,,
2017-12-31 02:15:00,53.3402,32.85779,9.895022,31.10633,158.102,3.665914,0.0
2017-12-31 02:20:00,,,,,,,
2017-12-31 02:30:00,47.55531,33.05244,10.11955,31.65331,157.4438,3.644209,0.0
2017-12-31 02:40:00,,,,,,,
2017-12-31 02:45:00,60.06113,32.38667,9.910554,32.73071,173.8755,3.577004,0.0
2017-12-31 02:50:00,,,,,,,
2017-12-31 03:00:00,44.0899,24.48201,9.297605,32.11703,132.1261,3.574719,0.0
2017-12-31 03:10:00,,,,,,,
2017-12-31 03:15:00,58.26748,24.92991,9.155859,23.23345,152.2024,3.529337,0.0
2017-12-31 03:20:00,,,,,,,
2017-12-31 03:30:00,44.10149,25.43081,9.324908,24.79794,145.0657,3.62323,0.0
2017-12-31 03:40:00,,,,,,,
2017-12-31 03:45:00,47.64261,34.04235,9.564992,23.93736,170.9498,3.602562,0.0
2017-12-31 03:50:00,,,,,,,
2017-12-31 04:00:00,52.20532,34.66106,9.896296,22.88901,157.6535,3.643779,0.0
2017-12-31 04:10:00,,,,,,,
2017-12-31 04:15:00,44.35875,32.32584,9.265596,22.89016,142.8442,3.573462,0.0
2017-12-31 04:20:00,,,,,,,
2017-12-31 04:30:00,61.86202,22.81426,8.786011,25.91451,167.3571,3.660407,0.0
2017-12-31 04:40:00,,,,,,,
2017-12-31 04:45:00,52.60503,25.02454,9.840616,25.6621,139.8719,3.609747,0.0
2017-12-31 04:50:00,,,,,,,
2017-12-31 05:00:00,49.61591,25.02856,10.39114,26.91368,168.9462,3.609375,0.0
2017-12-31 05:10:00,,,,,,,
2017-12-31 05:15:00,60.43394,33.49871,10.4989,26.79782,164.2176,3.653139,0.0
2017-12-31 05:20:00,,,,,,,
2017-12-31 05:30:00,45.29869,33.53098,9.818618,25.17771,149.7006,3.634613,0.0
2017-12-31 05:40:00,,,,,,,
2017-12-31 05:45:00,75.85031,46.59445,10.31283,24.19202,201.9525,3.600614,0.0
2017-12-31 05:50:00,,,,,,,
2017-12-31 06:00:00,53.76761,38.43092,8.999103,26.04007,169.5885,3.630262,0.0
2017-12-31 06:10:00,,,,,,,
2017-12-31 06:15:00,45.44162,37.73576,10.75073,25.57098,160.0259,3.660576,0.0
2017-12-31 06:20:00,,,,,,,
2017-12-31 06:30:00,51.01756,36.98201,9.778269,25.61382,161.4396,3.595968,0.0
2017-12-31 06:40:00,,,,,,,
2017-12-31 06:45:00,43.39808,45.54323,9.351748,25.41025,176.5691,3.624705,0.0
2017-12-31 06:50:00,,,,,,,
2017-12-31 07:00:00,57.59251,44.99324,9.087069,25.31161,178.3038,3.647093,0.0
2017-12-31 07:10:00,,,,,,,
2017-12-31 07:15:00,47.26832,32.2455,8.849786,24.54766,150.7838,3.662532,0.0
2017-12-31 07:20:00,,,,,,,
2017-12-31 07:30:00,50.778,25.30353,9.435077,27.3741,166.5395,3.69837,0.0
2017-12-31 07:40:00,,,,,,,
2017-12-31 07:45:00,51.27926,27.0668,9.513428,25.94108,146.4784,3.670071,0.0
2017-12-31 07:50:00,,,,,,,
2017-12-31 08:00:00,45.15701,25.69497,9.056822,24.20977,138.5639,3.637978,0.0
2017-12-31 08:10:00,,,,,,,
2017-12-31 08:15:00,56.15021,26.70852,9.281972,26.40513,157.6037,3.710504,0.0
2017-12-31 08:20:00,,,,,,,
2017-12-31 08:30:00,49.76067,26.3526,8.761061,24.99363,145.3943,3.569044,0.0
2017-12-31 08:40:00,,,,,,,
2017-12-31 08:45:00,51.68468,30.29594,9.408177,23.47602,147.7439,3.653046,0.0
2017-12-31 08:50:00,,,,,,,
2017-12-31 09:00:00,49.43409,22.48409,8.65839,25.26897,156.8369,3.64297,0.0
2017-12-31 09:10:00,,,,,,,
2017-12-31 09:15:00,49.67621,25.77532,8.513027,26.47861,154.1222,3.645111,0.0
2017-12-31 09:20:00,,,,,,,
2017-12-31 09:30:00,55.55534,25.18801,9.232002,25.45246,159.9866,3.616863,0.0
2017-12-31 09:40:00,,,,,,,
2017-12-31 09:45:00,50.04782,25.32892,8.988486,23.86961,176.2635,3.683107,0.0
2017-12-31 09:50:00,,,,,,,
2017-12-31 10:00:00,53.42886,25.40831,8.780362,25.02813,163.5888,3.717553,0.0
2017-12-31 10:10:00,,,,,,,
2017-12-31 10:15:00,45.74349,24.51151,8.699825,24.13409,163.2106,3.678883,0.0
2017-12-31 10:20:00,,,,,,,
2017-12-31 10:30:00,56.18835,25.93621,8.3205,27.19905,176.7826,3.676445,0.0
2017-12-31 10:40:00,,,,,,,
2017-12-31 10:45:00,47.62766,25.93936,8.216624,26.85999,183.451,3.655643,0.0
2017-12-31 10:50:00,,,,,,,
2017-12-31 11:00:00,55.87914,26.23028,8.791029,25.66764,176.7152,3.664927,0.0
2017-12-31 11:10:00,,,,,,,
2017-12-31 11:15:00,53.22478,25.05243,8.777529,25.80021,177.6679,3.646587,0.0
2017-12-31 11:20:00,,,,,,,
2017-12-31 11:30:00,49.06945,24.30919,9.520629,26.53526,170.3374,3.696253,0.0
2017-12-31 11:40:00,,,,,,,
2017-12-31 11:45:00,59.11089,25.53532,8.612947,26.18407,195.6719,3.719568,0.0
2017-12-31 11:50:00,,,,,,,
2017-12-31 12:00:00,45.18122,24.76355,8.759863,26.79881,158.1042,3.673056,0.0
2017-12-31 12:10:00,,,,,,,
2017-12-31 12:15:00,54.01453,25.47597,8.825356,24.66673,190.0774,3.641132,0.0
2017-12-31 12:20:00,,,,,,,
2017-12-31 12:30:00,49.22009,25.47045,8.825871,25.40917,160.713,3.625481,0.0
2017-12-31 12:40:00,,,,,,,
2017-12-31 12:45:00,47.60579,23.37497,8.864694,24.78874,148.041,3.644926,0.0
2017-12-31 12:50:00,,,,,,,
2017-12-31 13:00:00,62.54325,24.92132,8.344768,26.07195,174.0444,3.662617,0.0
2017-12-31 13:10:00,,,,,,,
2017-12-31 13:15:00,49.71324,24.63367,9.310776,24.0055,152.8757,3.709517,0.0
2017-12-31 13:20:00,,,,,,,
2017-12-31 13:30:00,51.93716,25.39965,9.157125,24.16122,145.4951,3.643787,0.0
2017-12-31 13:40:00,,,,,,,
2017-12-31 13:45:00,42.32185,24.20774,8.71632,24.69507,136.8671,3.680248,0.0
2017-12-31 13:50:00,,,,,,,
2017-12-31 14:00:00,51.52725,24.72875,9.432623,27.06732,157.8917,3.685578,0.0
2017-12-31 14:10:00,,,,,,,
2017-12-31 14:15:00,53.78936,24.83019,8.986716,26.94302,180.7743,3.613684,0.0
2017-12-31 14:20:00,,,,,,,
2017-12-31 14:30:00,49.4318,32.25654,9.62411,24.92738,164.7707,3.639622,0.0
2017-12-31 14:40:00,,,,,,,
2017-12-31 14:45:00,47.16769,25.07624,9.476748,25.89764,150.6511,3.66997,0.0
2017-12-31 14:50:00,,,,,,,
2017-12-31 15:00:00,50.29412,24.61109,9.32888,25.58101,164.9119,3.631055,0.0
2017-12-31 15:10:00,,,,,,,
2017-12-31 15:15:00,51.8597,24.38346,9.398649,26.70454,150.8842,3.630296,0.0
2017-12-31 15:20:00,,,,,,,
2017-12-31 15:30:00,59.19074,24.79276,9.43575,25.85712,171.4867,3.643771,0.0
2017-12-31 15:40:00,,,,,,,
2017-12-31 15:45:00,47.27696,32.92899,9.098114,26.34302,177.6936,3.683596,0.0
2017-12-31 15:50:00,,,,,,,
2017-12-31 16:00:00,51.70216,24.6399,9.596866,24.43746,144.8619,3.697864,0.0
2017-12-31 16:10:00,,,,,,,
2017-12-31 16:15:00,44.47614,24.97035,9.299586,24.33042,142.7115,3.641798,0.0
2017-12-31 16:20:00,,,,,,,
2017-12-31 16:30:00,52.01003,24.49947,9.479456,25.13721,178.5638,3.762699,0.0
2017-12-31 16:40:00,,,,,,,
2017-12-31 16:45:00,61.82498,45.78113,8.505639,27.83669,204.1269,3.632859,0.0
2017-12-31 16:50:00,,,,,,,
2017-12-31 17:00:00,49.89425,45.97217,9.551492,26.49644,186.6393,3.64824,0.0
2017-12-31 17:10:00,,,,,,,
2017-12-31 17:15:00,52.1357,39.00683,9.402958,25.29206,198.9859,3.694077,0.0
2017-12-31 17:20:00,,,,,,,
2017-12-31 17:30:00,50.08482,38.66909,9.716958,28.21268,170.1217,3.695511,0.0
2017-12-31 17:40:00,,,,,,,
2017-12-31 17:45:00,49.86808,44.26257,9.466866,28.23328,181.0227,3.698479,0.0
2017-12-31 17:50:00,,,,,,,
2017-12-31 18:00:00,60.59914,44.81332,9.82737,27.31896,207.7188,3.639951,0.0
2017-12-31 18:10:00,,,,,,,
2017-12-31 18:15:00,42.49781,44.11414,9.774981,29.54698,181.1098,3.650896,0.0
2017-12-31 18:20:00,,,,,,,
2017-12-31 18:30:00,47.99303,37.80629,9.688718,26.93832,199.2051,3.686472,0.0
2017-12-31 18:40:00,,,,,,,
2017-12-31 18:45:00,55.77335,36.42077,10.38436,25.07785,171.5051,3.626662,0.0
2017-12-31 18:50:00,,,,,,,
2017-12-31 19:00:00,49.77977,36.77124,9.792764,26.96314,177.7104,3.666057,0.0
2017-12-31 19:10:00,,,,,,,
2017-12-31 19:15:00,56.27473,44.16893,10.2239,27.34997,211.496,3.662187,0.0
2017-12-31 19:20:00,,,,,,,
2017-12-31 19:30:00,46.36541,44.00556,9.615578,27.02846,189.6283,3.731829,0.0
2017-12-31 19:40:00,,,,,,,
2017-12-31 19:45:00,49.55103,44.17788,9.925024,26.28989,182.2969,3.651908,0.0
2017-12-31 19:50:00,,,,,,,
2017-12-31 20:00:00,45.77444,36.9393,9.880072,24.82747,195.5448,3.687593,0.0
2017-12-31 20:10:00,,,,,,,
2017-12-31 20:15:00,50.42383,35.49191,9.627677,24.373,168.1307,3.649395,0.0
2017-12-31 20:20:00,,,,,,,
2017-12-31 20:30:00,55.85602,37.57557,10.07609,26.44557,195.2524,3.684566,0.0
2017-12-31 20:40:00,,,,,,,
2017-12-31 20:45:00,47.89652,44.66626,10.46261,24.98264,183.969,3.729568,0.0
2017-12-31 20:50:00,,,,,,,
2017-12-31 21:00:00,50.7725,43.67947,10.49348,25.77003,189.8869,3.557323,0.0
2017-12-31 21:10:00,,,,,,,
2017-12-31 21:15:00,50.0181,44.29561,9.472675,25.80454,177.1932,3.715108,0.0
2017-12-31 21:20:00,,,,,,,
2017-12-31 21:30:00,49.48845,42.3993,9.214589,25.61516,202.7382,3.648754,0.0
2017-12-31 21:40:00,,,,,,,
2017-12-31 21:45:00,57.18862,37.02287,9.386911,28.22071,186.9471,3.733034,0.0
2017-12-31 21:50:00,,,,,,,
2017-12-31 22:00:00,47.21975,35.90103,9.936939,25.82558,195.7575,3.641392,0.0
2017-12-31 22:10:00,,,,,,,
2017-12-31 22:15:00,48.80553,44.01066,10.62241,25.34029,167.7506,3.651807,0.0
2017-12-31 22:20:00,,,,,,,
2017-12-31 22:30:00,66.70979,48.00414,9.101597,26.08792,177.2227,3.626324,0.0
2017-12-31 22:40:00,,,,,,,
2017-12-31 22:45:00,49.78434,45.15784,9.630418,24.71515,167.6064,3.645483,0.0
2017-12-31 22:50:00,,,,,,,
2017-12-31 23:00:00,55.71082,44.80794,10.57652,25.83008,172.1033,3.622547,0.0
2017-12-31 23:10:00,,,,,,,
2017-12-31 23:15:00,47.27295,44.04874,9.749169,25.65088,167.8388,3.634284,0.0
2017-12-31 23:20:00,,,,,,,
2017-12-31 23:30:00,48.51574,44.29372,10.27448,24.96332,168.4372,3.591027,0.0
2017-12-31 23:40:00,,,,,,,
2017-12-31 23:45:00,58.67186,37.42378,10.0456,25.5612,168.002,3.636207,0.0
2017-12-31 23:50:00,,,,,,,
2018-01-01 00:00:00,46.3545,38.19561,9.36454,26.6964,182.5343,3.658434,0.0
2018-01-01 00:10:00,,,,,,,
2018-01-01 00:15:00,60.01321,44.76746,10.45906,24.60081,179.6509,3.657616,0.0
2018-01-01 00:20:00,,,,,,,
2018-01-01 00:30:00,52.22177,45.56006,10.35958,23.80533,176.0536,3.679667,0.0
2018-01-01 00:40:00,,,,,,,
2018-01-01 00:45:00,40.81968,31.93883,9.760923,24.57304,149.1665,3.667727,0.0
2018-01-01 00:50:00,,,,,,,
2018-01-01 01:00:00,51.07803,30.56641,9.847254,24.85654,164.0036,3.624933,0.0
2018-01-01 01:10:00,,,,,,,
2018-01-01 01:15:00,44.61163,32.16298,10.92118,26.0477,146.0199,3.643796,0.0
2018-01-01 01:20:00,,,,,,,
2018-01-01 01:30:00,45.57194,31.68056,10.56645,26.29219,168.6696,3.704812,0.0
2018-01-01 01:40:00,,,,,,,
2018-01-01 01:45:00,60.20544,31.69242,9.961814,23.46891,155.213,3.62887,0.0
2018-01-01 01:50:00,,,,,,,
2018-01-01 02:00:00,45.79362,32.40198,10.06012,23.7808,157.4191,3.624166,0.0
2018-01-01 02:10:00,,,,,,,
2018-01-01 02:15:00,56.65959,31.14959,10.34692,24.16776,153.1737,3.691792,0.0
2018-01-01 02:20:00,,,,,,,
2018-01-01 02:30:00,47.0902,31.11502,11.34991,24.1222,163.1753,3.660762,0.0
2018-01-01 02:40:00,,,,,,,
2018-01-01 02:45:00,54.37233,25.39193,10.01333,23.63259,176.8313,3.653291,0.0
2018-01-01 02:50:00,,,,,,,
2018-01-01 03:00:00,51.05788,23.46607,10.41071,23.75068,156.3605,3.660644,0.0
2018-01-01 03:10:00,,,,,,,
2018-01-01 03:15:00,48.26199,31.49917,11.78231,25.72075,159.4255,3.700284,0.0
2018-01-01 03:20:00,,,,,,,
2018-01-01 03:30:00,52.78346,30.84759,10.95709,25.26768,155.676,3.651326,0.0
2018-01-01 03:40:00,,,,,,,
2018-01-01 03:45:00,61.87764,30.76967,10.74481,23.67464,158.684,3.616104,0.0
2018-01-01 03:50:00,,,,,,,
2018-01-01 04:00:00,45.89869,30.23568,10.86705,25.84761,171.8706,3.583253,0.0
2018-01-01 04:10:00,,,,,,,
2018-01-01 04:15:00,59.04491,31.3768,11.41172,24.4338,184.7361,3.648029,0.0
2018-01-01 04:20:00,,,,,,,
2018-01-01 04:30:00,47.73252,32.6306,11.10115,23.87626,161.1722,3.730589,0.0
2018-01-01 04:40:00,,,,,,,
2018-01-01 04:45:00,54.94572,32.79197,11.05654,24.82418,172.8924,3.637261,0.0
2018-01-01 04:50:00,,,,,,,
2018-01-01 05:00:00,53.96136,31.52139,11.14498,24.84992,168.6468,3.610311,0.0
2018-01-01 05:10:00,,,,,,,
2018-01-01 05:15:00,54.74652,30.9433,11.47216,25.55294,164.8025,3.65679,0.0
2018-01-01 05:20:00,,,,,,,
2018-01-01 05:30:00,47.79109,30.9241,10.42974,25.76984,163.5609,3.609881,0.0
2018-01-01 05:40:00,,,,,,,
2018-01-01 05:45:00,58.71605,36.35867,11.0566,25.95267,172.2695,3.681252,0.0
2018-01-01 05:50:00,,,,,,,
2018-01-01 06:00:00,45.54878,36.9536,12.41557,25.94384,157.0445,3.667204,0.0
2018-01-01 06:10:00,,,,,,,
2018-01-01 06:15:00,58.23482,45.64997,10.89695,24.51457,175.5315,3.647894,0.0
2018-01-01 06:20:00,,,,,,,
2018-01-01 06:30:00,47.60783,44.28105,10.56022,33.99898,183.9876,3.639276,0.0
2018-01-01 06:40:00,,,,,,,
2018-01-01 06:45:00,57.90501,44.99216,10.94172,32.57893,185.7287,3.689903,0.0
2018-01-01 06:50:00,,,,,,,
2018-01-01 07:00:00,49.40432,44.51442,10.35265,31.61632,173.0131,3.65184,0.0
2018-01-01 07:10:00,,,,,,,
2018-01-01 07:15:00,49.14889,30.54547,10.43878,32.95733,166.4386,3.63151,0.0
2018-01-01 07:20:00,,,,,,,
2018-01-01 07:30:00,48.74263,30.98384,10.72773,33.36615,173.6357,3.69987,0.0
2018-01-01 07:40:00,,,,,,,
2018-01-01 07:45:00,56.96571,32.23117,10.62644,33.10668,172.0173,3.642759,0.0
2018-01-01 07:50:00,,,,,,,
2018-01-01 08:00:00,44.8097,22.83371,10.56555,32.73678,155.857,3.639985,0.0
2018-01-01 08:10:00,,,,,,,
2018-01-01 08:15:00,57.30496,23.3817,10.92292,31.5432,155.9427,3.677904,0.0
2018-01-01 08:20:00,,,,,,,
2018-01-01 08:30:00,49.29023,23.11556,9.924577,31.93735,144.5759,3.628103,0.0
2018-01-01 08:40:00,,,,,,,
2018-01-01 08:45:00,45.38581,30.9834,9.899214,31.27181,151.5347,3.639884,0.0
2018-01-01 08:50:00,,,,,,,
2018-01-01 09:00:00,46.40228,54.98596,9.560405,31.43218,183.8589,3.64942,0.0
2018-01-01 09:10:00,,,,,,,
2018-01-01 09:15:00,63.51227,66.70168,20.28532,45.61008,273.1779,10.06278,0.0
2018-01-01 09:20:00,,,,,,,
2018-01-01 09:30:00,62.97539,70.95113,19.64799,45.63087,270.7346,10.04747,0.0
2018-01-01 09:40:00,,,,,,,
2018-01-01 09:45:00,76.73369,78.45477,19.76147,47.23195,307.6352,9.766034,0.0
2018-01-01 09:50:00,,,,,,,
2018-01-01 10:00:00,78.09266,76.21541,19.7089,46.28235,302.937,9.948955,0.0
2018-01-01 10:10:00,,,,,,,
2018-01-01 10:15:00,65.92777,76.76781,20.35162,45.58412,290.0977,10.13363,0.0
2018-01-01 10:20:00,,,,,,,
2018-01-01 10:30:00,74.73199,80.49456,19.41097,49.66048,308.0852,10.07009,0.0
2018-01-01 10:40:00,,,,,,,
2018-01-01 10:45:00,68.89666,79.19836,19.19632,47.29818,287.944,9.853189,0.0
2018-01-01 10:50:00,,,,,,,
2018-01-01 11:00:00,73.03599,78.90953,19.17286,45.41007,278.0287,9.910732,0.0
2018-01-01 11:10:00,,,,,,,
2018-01-01 11:15:00,75.95883,78.9223,20.18866,45.68263,295.2141,9.742482,0.0
2018-01-01 11:20:00,,,,,,,
2018-01-01 11:30:00,77.82665,78.58195,20.29237,46.18154,298.2172,9.980103,0.0
2018-01-01 11:40:00,,,,,,,
2018-01-01 11:45:00,67.72743,77.36678,20.30495,45.23783,288.0925,9.882904,0.0
2018-01-01 11:50:00,,,,,,,
2018-01-01 12:00:00,67.86004,76.83478,19.3881,46.06861,280.9279,9.758386,0.0
2018-01-01 12:10:00,,,,,,,
2018-01-01 12:15:00,68.11405,82.02559,19.51008,45.90938,278.0125,9.900915,0.0
2018-01-01 12:20:00,,,,,,,
2018-01-01 12:30:00,64.0431,66.40578,20.23765,45.97263,258.0207,10.1071,0.0
2018-01-01 12:40:00,,,,,,,
2018-01-01 12:45:00,79.68678,64.16135,19.77196,44.78541,265.6725,9.678642,0.0
2018-01-01 12:50:00,,,,,,,
2018-01-01 13:00:00,68.16,65.89632,19.69709,46.81789,262.8708,10.01302,0.0
2018-01-01 13:10:00,,,,,,,
2018-01-01 13:15:00,68.00227,69.07844,19.79437,44.07286,255.8476,9.785359,0.0
2018-01-01 13:20:00,,,,,,,
2018-01-01 13:30:00,66.01812,63.62899,19.78837,43.67689,263.8742,9.58732,0.0
2018-01-01 13:40:00,,,,,,,
2018-01-01 13:45:00,66.47543,66.25959,19.87648,44.36416,245.4746,10.06405,0.0
2018-01-01 13:50:00,,,,,,,
2018-01-01 14:00:00,71.94112,63.50603,19.9905,45.65284,262.9978,9.954756,0.0
2018-01-01 14:10:00,,,,,,,
2018-01-01 14:15:00,65.27554,59.0351,19.74663,43.13586,238.0693,9.909424,0.0
2018-01-01 14:20:00,,,,,,,
2018-01-01 14:30:00,68.23747,60.67736,19.73821,44.92663,247.848,9.894525,0.0
2018-01-01 14:40:00,,,,,,,
2018-01-01 14:45:00,69.07817,56.72209,18.17426,32.88827,246.4808,9.863679,0.0
2018-01-01 14:50:00,,,,,,,
2018-01-01 15:00:00,73.37526,57.5474,15.28421,24.66856,222.311,10.01766,0.0
2018-01-01 15:10:00,,,,,,,
2018-01-01 15:15:00,69.96786,29.04554,14.06812,21.92738,199.4047,3.896055,0.0
2018-01-01 15:20:00,,,,,,,
2018-01-01 15:30:00,67.85907,33.63956,14.39061,19.8257,185.2034,3.877209,0.0
2018-01-01 15:40:00,,,,,,,
2018-01-01 15:45:00,76.24593,30.17887,11.8222,23.32511,191.7783,3.900128,0.0
2018-01-01 15:50:00,,,,,,,
2018-01-01 16:00:00,67.91569,28.06622,12.40562,21.59687,192.618,3.905086,0.0
2018-01-01 16:10:00,,,,,,,
2018-01-01 16:15:00,51.56007,10.72946,12.16541,25.79245,145.3736,3.673089,0.0
2018-01-01 16:20:00,,,,,,,
2018-01-01 16:30:00,68.73119,11.9941,12.65827,22.13335,162.1732,3.722663,0.0
2018-01-01 16:40:00,,,,,,,
2018-01-01 16:45:00,62.7134,24.70559,23.67082,23.56923,199.715,3.698581,0.0
2018-01-01 16:50:00,,,,,,,
2018-01-01 17:00:00,65.2972,23.4436,12.63757,26.00199,179.7264,3.701118,0.0
2018-01-01 17:10:00,,,,,,,
2018-01-01 17:15:00,61.05824,23.0754,11.0986,16.62039,163.9881,3.66136,0.0
2018-01-01 17:20:00,,,,,,,
2018-01-01 17:30:00,50.66164,22.2908,10.72154,17.95865,171.3065,3.718354,0.0
2018-01-01 17:40:00,,,,,,,
2018-01-01 17:45:00,55.68283,22.36225,9.520376,16.6891,151.4627,3.670914,0.0
2018-01-01 17:50:00,,,,,,,
2018-01-01 18:00:00,51.83434,23.02322,8.944799,18.00876,150.7221,3.670046,0.0
2018-01-01 18:10:00,,,,,,,
2018-01-01 18:15:00,56.69496,36.6219,9.557479,17.02013,186.4055,3.635903,0.0
2018-01-01 18:20:00,,,,,,,
2018-01-01 18:30:00,45.22823,35.71581,9.362382,18.23341,158.5716,3.635684,0.0
2018-01-01 18:40:00,,,,,,,
2018-01-01 18:45:00,62.19589,37.13395,9.414551,17.10368,172.7983,3.694769,0.0
2018-01-01 18:50:00,,,,,,,
2018-01-01 19:00:00,44.88464,35.27253,9.085879,19.58926,177.8698,3.656782,0.0
2018-01-01 19:10:00,,,,,,,
2018-01-01 19:15:00,54.79806,36.44288,8.61945,17.1208,152.1513,3.736365,0.0
2018-01-01 19:20:00,,,,,,,
2018-01-01 19:30:00,51.54089,35.51952,8.673357,18.64956,151.2769,3.650939,0.0
2018-01-01 19:40:00,,,,,,,
2018-01-01 19:45:00,57.729,36.87341,9.120949,19.83493,175.0526,3.730007,0.0
2018-01-01 19:50:00,,,,,,,
2018-01-01 20:00:00,49.3511,38.98295,8.234281,15.62965,149.8143,3.642599,0.0
2018-01-01 20:10:00,,,,,,,
2018-01-01 20:15:00,52.28613,37.42812,8.795059,16.92599,157.3636,3.686421,0.0
2018-01-01 20:20:00,,,,,,,
2018-01-01 20:30:00,45.99023,35.51332,8.561613,18.46873,178.3452,3.604485,0.0
2018-01-01 20:40:00,,,,,,,
2018-01-01 20:45:00,62.9984,35.59621,8.769131,17.79317,168.1109,3.642278,0.0
2018-01-01 20:50:00,,,,,,,
2018-01-01 21:00:00,47.84314,36.24007,8.185256,19.03026,157.8432,3.637497,0.0
2018-01-01 21:10:00,,,,,,,
2018-01-01 21:15:00,62.07502,36.05624,8.152134,23.40474,187.365,3.707392,0.0
2018-01-01 21:20:00,,,,,,,
2018-01-01 21:30:00,47.83252,35.8089,9.035059,17.77975,165.4091,3.664876,0.0
2018-01-01 21:40:00,,,,,,,
2018-01-01 21:45:00,55.52621,36.22744,8.667952,18.99728,182.5594,3.72117,0.0
2018-01-01 21:50:00,,,,,,,
2018-01-01 22:00:00,53.10427,35.31901,9.227711,17.95733,161.9256,3.71886,0.0
2018-01-01 22:10:00,,,,,,,
2018-01-01 22:15:00,50.92731,43.9999,9.234076,17.4319,155.2116,3.670964,0.0
2018-01-01 22:20:00,,,,,,,
