,HS DE Kitchen-Emergency (kW),HS DG Gym (kW),HS Plugload DBH (kW),HS DL Lighting (kW),HS MSWB (kW),HS PBA AHU1-4 (kW),HS M1 Chillers (kW)
2017-12-30 19:00:00,51.25601,25.92399,9.143539,30.92986,164.0104,3.631072,0.0
2017-12-30 19:10:00,,,,,,,
2017-12-30 19:15:00,53.35458,25.94471,9.306476,31.0836,173.4857,3.621197,0.0
2017-12-30 19:20:00,,,,,,,
2017-12-30 19:30:00,51.39666,25.12724,8.374812,31.05639,182.4676,3.615261,0.0
2017-12-30 19:40:00,,,,,,,
2017-12-30 19:45:00,54.13357,23.99539,9.411829,31.63442,179.2545,3.670079,0.0
2017-12-30 19:50:00,,,,,,,
2017-12-30 20:00:00,50.97421,25.06538,8.271585,32.25629,170.6116,3.641519,0.0
2017-12-30 20:10:00,,,,,,,
2017-12-30 20:15:00,53.59921,24.32102,9.17135,33.12605,182.0877,3.609426,0.0
2017-12-30 20:20:00,,,,,,,
2017-12-30 20:30:00,47.22385,32.23264,9.157393,32.09775,194.4009,3.624773,0.0
2017-12-30 20:40:00,,,,,,,
2017-12-30 20:45:00,55.66975,25.02165,9.55532,32.6559,185.9276,3.631755,0.0
2017-12-30 20:50:00,,,,,,,
2017-12-30 21:00:00,49.36474,24.69504,9.687108,31.92121,165.3009,3.582367,0.0
2017-12-30 21:10:00,,,,,,,
2017-12-30 21:15:00,50.02981,25.0797,9.373983,31.20478,153.8997,3.67637,0.0
2017-12-30 21:20:00,,,,,,,
2017-12-30 21:30:00,57.50594,23.65035,9.78643,32.82833,183.7953,3.677812,0.0
2017-12-30 21:40:00,,,,,,,
2017-12-30 21:45:00,51.10355,23.74205,8.861548,31.18815,155.3817,3.616307,0.0
2017-12-30 21:50:00,,,,,,,
2017-12-30 22:00:00,56.015,32.10117,9.85587,31.92246,169.9919,3.692239,0.0
2017-12-30 22:10:00,,,,,,,
2017-12-30 22:15:00,49.6022,32.1007,10.06044,31.72661,146.9524,3.618305,0.0
2017-12-30 22:20:00,,,,,,,
2017-12-30 22:30:00,56.62506,24.07129,9.976613,32.65791,152.5732,3.684819,0.0
2017-12-30 22:40:00,,,,,,,
2017-12-30 22:45:00,53.24492,24.39105,9.806981,31.28271,167.1074,3.610067,0.0
2017-12-30 22:50:00,,,,,,,
